,Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link,time_since_posting,Sub/NumberVids,Total Views/Total Videos,View/Sub
107,TED-Ed,21000000,2229,4189348739,269000,12021,445,2025-01-23 16:01:54,https://www.youtube.com/watch?v=sbXie768ZZQ&ab_channel=TED-Ed,18,9421.265141318978,1879474.5352175864,0.0128095238095238
108,TED-Ed,21000000,2229,4189348739,317141,10793,306,2025-01-16 16:01:06,https://www.youtube.com/watch?v=puWumt39nak&ab_channel=TED-Ed,25,9421.265141318978,1879474.5352175864,0.0151019523809523
109,TED-Ed,21000000,2229,4189348739,555043,24220,637,2025-01-21 16:00:52,https://www.youtube.com/watch?v=EixIyh1gshM&ab_channel=TED-Ed,20,9421.265141318978,1879474.5352175864,0.026430619047619
110,TED-Ed,21000000,2229,4189348739,476744,15760,694,2025-01-14 16:01:15,https://www.youtube.com/watch?v=w3d2DlLX7xw&ab_channel=TED-Ed,27,9421.265141318978,1879474.5352175864,0.0227020952380952
111,TED-Ed,21000000,2229,4189348739,400315,13612,306,2025-01-09 16:01:51,https://www.youtube.com/watch?v=qH0tUg4Enn0&ab_channel=TED-Ed,32,9421.265141318978,1879474.5352175864,0.019062619047619
112,TED-Ed,21000000,2229,4189348739,197979,7680,198,2025-01-07 16:00:42,https://www.youtube.com/watch?v=HEpJBuPIb4o&ab_channel=TED-Ed,34,9421.265141318978,1879474.5352175864,0.0094275714285714
113,TED-Ed,21000000,2229,4189348739,5089263,163420,2751,2025-01-02 16:01:47,https://www.youtube.com/watch?v=eEWa7cpiyD8&ab_channel=TED-Ed,39,9421.265141318978,1879474.5352175864,0.2423458571428571
114,TED-Ed,21000000,2229,4189348739,823340,32719,705,2024-12-19 16:01:26,https://www.youtube.com/watch?v=kOVdiDUlNsg&ab_channel=TED-Ed,53,9421.265141318978,1879474.5352175864,0.0392066666666666
115,TED-Ed,21000000,2229,4189348739,309081,12731,346,2024-12-17 16:01:04,https://www.youtube.com/watch?v=qWG2f9DwwpY&ab_channel=TED-Ed,55,9421.265141318978,1879474.5352175864,0.0147181428571428
116,TED-Ed,21000000,2229,4189348739,279233,9006,246,2024-12-12 16:00:55,https://www.youtube.com/watch?v=Wb0UgdRFj2A&ab_channel=TED-Ed,60,9421.265141318978,1879474.5352175864,0.0132968095238095
117,BBC Earth,13300000,2947,5034991944,29256,594,25,2024-12-15 15:00:09,https://www.youtube.com/watch?v=7EG4cXQvko4&ab_channel=BBCEarth,57,4513.064133016627,1708514.4024431626,0.0021996992481203
118,BBC Earth,13300000,2947,5034991944,160168,1915,131,2024-12-22 23:59:00,https://www.youtube.com/watch?v=AqKyCYWdBAI&ab_channel=BBCEarth,50,4513.064133016627,1708514.4024431626,0.0120427067669172
119,BBC Earth,13300000,2947,5034991944,10305,280,11,2024-12-29 23:45:00,https://www.youtube.com/watch?v=1Mtm3TiUhts&ab_channel=BBCEarth,43,4513.064133016627,1708514.4024431626,0.0007748120300751
120,BBC Earth,13300000,2947,5034991944,200967,5845,114,2025-01-04 16:00:28,https://www.youtube.com/watch?v=No45YnGEwPI&ab_channel=BBCEarth,37,4513.064133016627,1708514.4024431626,0.0151103007518797
121,BBC Earth,13300000,2947,5034991944,93757,2215,56,2025-01-09 16:00:10,https://www.youtube.com/watch?v=4TYbTatyhLg&ab_channel=BBCEarth,32,4513.064133016627,1708514.4024431626,0.0070493984962406
122,BBC Earth,13300000,2947,5034991944,427853,5332,261,2025-01-14 17:30:03,https://www.youtube.com/watch?v=FTS46pVoX5w&ab_channel=BBCEarth,27,4513.064133016627,1708514.4024431626,0.0321693984962406
